subject,topic,subtopic,skill_tags,difficulty,cognitive_level,answer_type,question_text,option_a,option_b,option_c,option_d,correct_answer,numerical_tolerance,solution,explanation,reference
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,laplace-properties;linearity,2,recall,multiple_choice_single,"If $\mathcal{L}\{f(t)\}=F(s)$ and $\mathcal{L}\{g(t)\}=G(s)$, what is $\mathcal{L}\{3f(t)-2g(t)\}$?",$F(3s)-G(2s)$,$3F(s)G(s)-2$,$F(s-3)-G(s+2)$,$3F(s)-2G(s)$,D,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,evaluation;frequency-shifting;laplace-properties,2,application,numerical_tolerance,A signal has $\mathcal{L}\{f(t)\}=1/(s+1)$. Evaluate $\mathcal{L}\{e^{-2t}f(t)\}$ at $s=0$.,,,,,0.333333333,1%,Frequency shifting: $\mathcal{L}\{e^{-2t}f(t)\}=F(s+2)=1/(s+3)$. At $s=0$: $1/3\approx0.3333$.,"The shift must be applied to the argument of $F$, not to the whole expression.",
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,differentiation-in-time;initial-condition;laplace-properties,3,application,numerical_tolerance,"For $f(t)=4e^{-2t}u(t)$, evaluate $\mathcal{L}\{df/dt\}$ at $s=2$.",,,,,-2,0.001,"$F(s)=4/(s+2)$ and $f(0)=4$, so $\mathcal{L}\{f'\}=sF(s)-f(0)=4s/(s+2)-4=-8/(s+2)$. At $s=2$: $-8/4=-2$.",Omitting the $-f(0)$ term is the classic error; it would wrongly give $+2$.,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,laplace-properties;time-shift,4,comprehension,multiple_choice_single,Which transform corresponds to $f(t-a)u(t-a)$ for $a>0$?,$e^{-as}F(s)$,$F(s-a)$,$e^{as}F(s)$,$F(s)/a$,A,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,initial-value-theorem;laplace-properties,4,comprehension,text_short,Which theorem allows $\lim_{t\to 0^+}f(t)$ to be found as $\lim_{s\to\infty}sF(s)$?,,,,,initial value theorem|initial-value theorem|the initial value theorem,,"The initial value theorem states $f(0^+)=\lim_{s\to\infty}sF(s)$, provided the limit exists.","Its counterpart, the final value theorem, uses $s\to 0$ instead of $s\to\infty$.",
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,convolution;laplace-properties;time-domain,5,analysis,numerical_tolerance,"Let $h(t)=\int_0^t e^{-\tau}e^{-(t-\tau)}\,d\tau$. Find $h(1)$.",,,,,0.367879441,1%,"The integral is a convolution, so $H(s)=[1/(s+1)]^2$, giving $h(t)=te^{-t}$. Then $h(1)=e^{-1}\approx0.3679$.",Recognising convolution converts an awkward integral into a product of transforms.,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,differentiation-in-time;initial-value;laplace-properties,6,application,multiple_choice_single,"Given $f(0^-)=2$ and $\mathcal{L}\{f(t)\}=F(s)$, what is $\mathcal{L}\{df/dt\}$?",$sF(s)$,$F(s)/s-2$,$sF(s)-2$,$-dF(s)/ds$,C,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,laplace-properties;multiplication-by-time,8,application,multiple_choice_single,"If $\mathcal{L}\{f(t)\}=F(s)$, which expression equals $\mathcal{L}\{t f(t)\}$?",$sF(s)$,$-dF(s)/ds$,$F(s)/s$,$dF(s)/ds$,B,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Properties of Laplace Transforms,convolution;laplace-properties,10,analysis,multiple_choice_single,"If $h(t)=\int_0^t f(\tau)g(t-\tau)\,d\tau$, what is $H(s)$?",$F(s)+G(s)$,$F(s)/G(s)$,$F(s-1)G(s+1)$,$F(s)G(s)$,D,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,basic-pairs;inverse-laplace,1,recall,text_short,What is $\mathcal{L}^{-1}\{1/(s+5)\}$? Write the time function.,,,,,e^{-5t}|e^-5t|exp(-5t)|e^(-5t)|e^-5t u(t)|e^{-5t}u(t),,The pair $1/(s+a)\leftrightarrow e^{-at}u(t)$ gives $e^{-5t}u(t)$.,A pole at $s=-5$ corresponds to a mode decaying with time constant $0.2$ s.,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,basic-pairs;inverse-laplace,2,recall,multiple_choice_single,What is $\mathcal{L}^{-1}\{1/(s+4)\}$?,$e^{-4t}$,$e^{4t}$,$4e^{-t}$,$t e^{-4t}$,A,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,evaluation;inverse-laplace;partial-fractions,2,application,numerical_tolerance,Let $f(t)=\mathcal{L}^{-1}\{6/[s(s+3)]\}$. Find $f(1)$.,,,,,1.900425863,1%,"$6/[s(s+3)]=2/s-2/(s+3)$, so $f(t)=2(1-e^{-3t})$. At $t=1$: $2(1-e^{-3})\approx1.9004$.",The residue at $s=0$ sets the final value 2; the pole at $-3$ sets the decay rate.,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,inverse-laplace;repeated-poles,3,application,numerical_tolerance,Let $f(t)=\mathcal{L}^{-1}\{1/(s+2)^2\}$. Find $f(1)$.,,,,,0.135335283,1%,"The pair $1/(s+a)^2\leftrightarrow te^{-at}u(t)$ gives $f(t)=te^{-2t}$, so $f(1)=e^{-2}\approx0.1353$.",A repeated pole introduces the polynomial factor $t$ alongside the exponential.,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,inverse-laplace;partial-fractions,4,application,multiple_choice_single,Find $\mathcal{L}^{-1}\{1/[s(s+2)]\}$.,$1-e^{-2t}$,$\tfrac12(1+e^{-2t})$,$\tfrac12(1-e^{-2t})$,$t e^{-2t}$,C,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,completing-square;complex-poles;inverse-laplace,4,analysis,numerical_tolerance,Let $f(t)=\mathcal{L}^{-1}\{(s+1)/[(s+1)^2+9]\}$. Find $f(1)$.,,,,,-0.364197886,1%,"The form $(s+a)/[(s+a)^2+\omega^2]$ inverts to $e^{-at}\cos\omega t$, so $f(t)=e^{-t}\cos 3t$ and $f(1)=e^{-1}\cos 3\approx-0.3642$.","The cosine argument is in radians; the answer is negative because $\cos 3\,\text{rad}<0$.",
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,inverse-laplace;partial-fractions;technique,5,analysis,text_short,Which algebraic technique is used to decompose a proper rational $F(s)$ into simple terms before inverting term by term?,,,,,partial fraction expansion|partial fractions|partial-fraction expansion|partial fraction decomposition|partial fraction,,A proper rational function is written as a sum of terms whose inverse transforms are standard pairs; the coefficients are the residues at the poles.,"If $F(s)$ is improper, polynomial division is performed first, producing impulse terms.",
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,inverse-laplace;repeated-poles,6,application,multiple_choice_single,What is $\mathcal{L}^{-1}\{1/(s+3)^2\}$?,$e^{-3t}$,$t e^{-3t}$,$t^2 e^{-3t}$,$3t e^{-t}$,B,,"We recognize the standard transform pair  
$$ \mathcal{L}\{t^n e^{-at}\} = \frac{n!}{(s+a)^{n+1}}, \quad n = 0,1,2,\dots $$

Here the given function is  
$$ \frac{1}{(s+3)^2} $$
Comparing with the standard form, we have $a = 3$ and $n+1 = 2$, so $n = 1$. Thus  
$$ \mathcal{L}\{t e^{-3t}\} = \frac{1!}{(s+3)^2} = \frac{1}{(s+3)^2} $$

Therefore the inverse Laplace transform is  
$$ \mathcal{L}^{-1}\left\{\frac{1}{(s+3)^2}\right\} = t e^{-3t} $$

The correct choice is **B. $t e^{-3t}$**.",,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,completing-square;complex-poles;inverse-laplace,8,analysis,multiple_choice_single,Find $\mathcal{L}^{-1}\{(s+2)/[(s+2)^2+16]\}$.,$e^{-2t}\sin 4t$,$4e^{-2t}\cos 4t$,$e^{2t}\cos 4t$,$e^{-2t}\cos 4t$,D,,,,
Feedback and Control Systems,Laplace and Inverse Laplace Transform,Inverse Laplace Transform,improper-rational;inverse-laplace;partial-fractions,10,analysis,multiple_choice_single,What is $\mathcal{L}^{-1}\{(s^2+3s+5)/[s(s+1)]\}$?,$\delta(t)+5-3e^{-t}$,$\delta(t)+5-2e^{-t}$,$1+5e^{-t}$,$5-2e^{-t}$,A,,,,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;plant;terminology,1,recall,text_short,"In control terminology, what name is given to the physical system or process being controlled?",,,,,plant|process|plant or process|the plant,,The plant (or process) is the component whose output is to be regulated; the controller acts on it.,Distinguishing plant from controller is the first step in drawing any block diagram.,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;definition,2,recall,multiple_choice_single,Which statement best defines a control system?,A device that stores energy without changing system behavior,A network that converts every input into a constant output,An arrangement of components that manages or regulates a process to obtain a desired response,A mathematical equation with no physical implementation,C,,"A control system is formally defined as an arrangement of physical components (or a set of elements) that are interconnected to manage, command, direct, or regulate the behavior of a system so that a desired output or response is achieved.

Option C directly captures this definition: it describes a network of components acting together to manage or regulate a process toward a specific goal. The other choices are incorrect because a control system does not merely store energy (A), does not force every input to a constant output (B), and is not just a mathematical abstraction without physical realization (D).

Thus, the correct answer is **C. An arrangement of components that manages or regulates a process to obtain a desired response**.",,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,comparator;control-system;error-signal,2,comprehension,text_short,What name is given to the signal formed by the difference between the reference input and the feedback signal?,,,,,error signal|error|actuating error|actuating error signal|actuating signal,,"The comparator (summing junction) forms $e=r-b$, the actuating error signal that drives the controller.",In a unity-feedback system this error equals the tracking error $r-c$; otherwise it does not.,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;controlled-variable;steady-state-error,3,application,numerical_tolerance,"A thermostat is set to hold a room at $22\,^\circ$C, and the room temperature settles at $21.4\,^\circ$C. Find the magnitude of the steady-state error in $^\circ$C.",,,,,0.6,1%,"$|e_{ss}|=|22-21.4|=0.6\,^\circ$C.",Identifies the reference (22) and the controlled variable (21.4) before subtracting.,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;input;output,4,comprehension,multiple_choice_single,"In a temperature-control system, which quantity is normally regarded as the controlled variable?",The desired temperature setting,The measured room temperature,The heater power rating,The ambient weather forecast,B,,,,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;disturbance;external-input,4,analysis,text_short,"An unwanted external input, such as a wind gust acting on an aircraft being controlled, is given what general name?",,,,,disturbance|disturbance input|disturbance signal|external disturbance,,Any unwanted input that tends to drive the controlled variable away from its desired value is a disturbance.,Disturbance rejection is a distinct design goal from command tracking.,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;parameter-variation;robustness,5,evaluation,text_short,What single term describes a control system's ability to maintain acceptable performance despite plant parameter variations and modelling errors?,,,,,robustness|robust|robustness to uncertainty,,Robustness measures how much uncertainty the closed loop tolerates before specifications or stability are lost.,"Feedback improves robustness, which is a principal reason for closing the loop at all.",
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;controlled-variable;reference,6,application,multiple_choice_single,A motor-speed controller is commanded to maintain 1200 r/min. What does 1200 r/min represent?,A disturbance,The control effort,The plant output sensor gain,The reference input,D,,"The commanded speed of 1200 r/min is the desired value that the control system should achieve and maintain.

**Step 1: Identify the role of the commanded value.**  
In a control system, the **reference input** (or setpoint) is the desired value of the controlled variable. Here, the motor speed is the variable to be controlled, and 1200 r/min is the target.

**Step 2: Compare with the other options.**  
- A **disturbance** is an unwanted signal that affects the output.  
- The **control effort** is the signal applied to the plant (e.g., voltage to the motor).  
- The **plant output sensor gain** scales the measured output for feedback.  
None of these describe the commanded 1200 r/min.

**Step 3: Conclusion.**  
Therefore, 1200 r/min is the **reference input**.

The correct answer is **D. The reference input**.",,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;controller;plant;sensor,8,analysis,multiple_choice_single,Which component directly converts the controller output into the physical behavior being regulated?,Plant or process,Reference generator,Comparator,Feedback sensor,A,,,,
Feedback and Control Systems,Introduction to Control Systems,Definition of a Control System,control-system;performance-objectives,10,evaluation,multiple_choice_single,Which design objective best captures the purpose of a practical control system?,Maximize controller complexity regardless of performance,Eliminate all sensors to reduce cost,Track desired commands and reject disturbances while maintaining acceptable stability and effort,Force the output to remain zero for every input,C,,,,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,definition;open-loop,1,recall,text_short,Which type of control system takes no measurement of its own output?,,,,,open loop|open-loop|open loop system|open-loop system|open loop control system|open-loop control system,,"An open-loop system computes its control action from the reference alone, with no output measurement.",Without measurement there is no way to detect or correct an output deviation.,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,closed-loop;feedback;open-loop,2,recall,multiple_choice_single,What distinguishes a closed-loop control system from an open-loop system?,It contains no plant,It uses feedback from the output,It has no input signal,It always operates manually,B,,,,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,closed-loop;comparison;feedback-path,2,comprehension,text_short,Which functional element is present in a closed-loop system but absent in an open-loop system?,,,,,feedback|feedback path|feedback element|sensor|feedback sensor|the feedback path,,The closed-loop structure adds a measurement (sensor) and feedback path returning the output to the comparator.,The feedback path is what makes the control action depend on the actual output.,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,closed-loop;gain-variation;sensitivity,3,application,numerical_tolerance,"A unity-feedback system has forward gain $G=100$. If $G$ increases by 10% to 110, find the resulting percentage increase in the closed-loop gain $T=G/(1+G)$.",,,,,0.09009009,0.005,"$T_1=100/101=0.990099$, $T_2=110/111=0.990991$. Percentage change $=(0.990991-0.990099)/0.990099\times100\approx0.0901\%$.",A 10% plant change produces roughly 0.09% closed-loop change: feedback desensitises the gain by about $1/(1+G)$.,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,disturbance-rejection;open-loop,4,comprehension,multiple_choice_single,Why is an open-loop toaster generally unable to correct for unusually cold bread?,It has excessive feedback gain,Its reference input is always zero,Its plant has no dynamics,It does not measure the actual toast condition,D,,,,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,closed-loop;disturbance-rejection;loop-gain,4,analysis,numerical_tolerance,"A disturbance entering the plant produces an output change $d_0$ when the loop is open. With the loop closed and loop gain $GH=49$, the disturbance effect is scaled by $1/(1+GH)$. Find that scaling factor.",,,,,0.02,0.001,Factor $=1/(1+49)=1/50=0.02$.,"Disturbance sensitivity falls in proportion to $1/(1+GH)$, which is why high loop gain aids rejection.",
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,feedback;stability;tradeoffs,5,evaluation,text_short,State the principal drawback that negative feedback can introduce into a system that was stable in open loop.,,,,,instability|possible instability|it can become unstable|loss of stability|reduced stability,,Raising loop gain moves closed-loop poles; poorly chosen gain or excess phase lag can push them into the right-half plane.,Feedback buys accuracy and robustness at the cost of a stability problem that must be verified.,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,advantages;closed-loop;sensitivity,6,application,multiple_choice_single,Which change is most likely to improve disturbance rejection in a properly designed feedback system?,Increase loop gain over the relevant frequency range,Remove the feedback path,Set the reference input to zero,Replace the plant with a constant,A,,,,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,feedback;stability;tradeoffs,8,analysis,multiple_choice_single,Which statement about negative feedback is generally correct?,It always eliminates steady-state error completely,It guarantees zero control effort,It can reduce sensitivity to parameter variations but may create instability if poorly designed,It makes plant dynamics irrelevant,C,,,,
Feedback and Control Systems,Introduction to Control Systems,Open Loop vs Closed-Loop Control System,closed-loop;open-loop;system-selection,10,evaluation,multiple_choice_single,Which application most strongly justifies closed-loop control?,A lamp switched on for a fixed time in a constant environment,A conveyor required to maintain speed despite changing load torque,A decorative sign operated by a fixed timer,A one-time fuse that opens during overcurrent,B,,,,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;transfer-function;zero-initial-conditions,1,recall,text_short,What assumption about initial conditions is made when a differential equation is converted into a transfer function?,,,,,zero|zero initial conditions|all zero|all initial conditions are zero|zero-initial conditions,,"Transforming with all initial conditions set to zero removes the initial-condition terms, leaving $Y(s)/U(s)$ as a ratio of polynomials.",The transfer function therefore describes the forced response only.,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;transfer-function;zero-initial-conditions,2,recall,multiple_choice_single,"When deriving a transfer function from a differential equation, what initial-condition assumption is used?",Only the input initial condition is zero,All initial conditions are unity,Initial conditions must be unknown,All initial conditions are zero,D,,,,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),dc-gain;differential-equation;first-order,2,application,numerical_tolerance,A system obeys $\dot y+5y=10u$. Find its DC gain $G(0)$.,,,,,2,0.001,"Transforming: $(s+5)Y=10U$, so $G(s)=10/(s+5)$ and $G(0)=10/5=2$.",The DC gain is the steady-state output per unit constant input.,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),dc-gain;differential-equation;normalisation;second-order,3,application,numerical_tolerance,A system obeys $2\ddot y+8\dot y+10y=6u$. Find its DC gain $G(0)$.,,,,,0.6,1%,"$G(s)=6/(2s^2+8s+10)$, so $G(0)=6/10=0.6$.",Setting $s=0$ keeps only the constant terms; the leading coefficient 2 is irrelevant at DC.,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;first-order;transfer-function,4,application,multiple_choice_single,"For $\dot y(t)+2y(t)=3u(t)$, what is $Y(s)/U(s)$ under zero initial conditions?",$3/(s+2)$,$(s+2)/3$,$3s/(s+2)$,$1/(3s+2)$,A,,,,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;input-derivative;transfer-function,4,analysis,numerical_tolerance,A system obeys $\ddot y+4\dot y+5y=2\dot u+3u$. Evaluate its transfer function at $s=1$.,,,,,0.5,1%,$G(s)=(2s+3)/(s^2+4s+5)$. At $s=1$: $5/10=0.5$.,Derivatives of the input become numerator powers of $s$; reversing numerator and denominator is the common slip.,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;order;proper-transfer-function,5,analysis,text_short,"For the model $3y'''+2y''+5y'+y=4u''+u$, state the order of the transfer function denominator.",,,,,3|three|third|third order|3rd,,"The highest output derivative is third order, so the denominator is $3s^3+2s^2+5s+1$, of order 3.","The numerator order 2 is less than 3, so the transfer function is strictly proper.",
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;second-order;transfer-function,6,application,multiple_choice_single,"For $\ddot y+4\dot y+5y=2u$, determine $G(s)=Y(s)/U(s)$.",$(s^2+4s+5)/2$,$2s/(s^2+4s+5)$,$2/(s^2+4s+5)$,$2/(5s^2+4s+1)$,C,,"We take the Laplace transform of both sides of the differential equation, assuming zero initial conditions ($y(0)=0$, $\dot y(0)=0$):

$$
\mathcal{L}\{\ddot y\} = s^2 Y(s),\quad 
\mathcal{L}\{\dot y\} = s Y(s),\quad 
\mathcal{L}\{y\} = Y(s),\quad 
\mathcal{L}\{2u\} = 2 U(s).
$$

Substituting gives:

$$
s^2 Y(s) + 4 s Y(s) + 5 Y(s) = 2 U(s).
$$

Factor $Y(s)$ on the left:

$$
(s^2 + 4s + 5) Y(s) = 2 U(s).
$$

The transfer function is $G(s) = Y(s)/U(s)$. Dividing both sides by $U(s)$ and by $(s^2+4s+5)$ yields:

$$
G(s) = \frac{2}{s^2 + 4s + 5}.
$$

This matches choice **C**.",,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;input-derivative;transfer-function,8,analysis,multiple_choice_single,"For $\ddot y+4\dot y+5y=2\dot u+3u$, what is $Y(s)/U(s)$ under zero initial conditions?",$(2+3s)/(s^2+4s+5)$,$(2s+3)/(s^2+4s+5)$,$(s^2+4s+5)/(2s+3)$,$3/(s^2+6s+8)$,B,,,,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 1 (Differential Equation to Transfer Function),differential-equation;order;proper-transfer-function,10,analysis,multiple_choice_single,A model satisfies $3\dddot y+2\ddot y+5\dot y+y=4\ddot u+u$. Which transfer function is correct?,$(4s+1)/(3s^2+2s+5)$,$(3s^3+2s^2+5s+1)/(4s^2+1)$,$4/(3s^3+2s^2+6s+1)$,$(4s^2+1)/(3s^3+2s^2+5s+1)$,D,,,,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 2 (Impulse and Step Response to Transfer Function),definition;impulse-response;transfer-function,1,recall,text_short,The transfer function of an LTI system is the Laplace transform of which time-domain response?,,,,,impulse response|the impulse response|unit impulse response|h(t)|impulse response h(t),,"With zero initial conditions and $u(t)=\delta(t)$, $U(s)=1$, so $Y(s)=G(s)$; hence $G(s)=\mathcal{L}\{h(t)\}$.",This is why the impulse response fully characterises an LTI system.,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 2 (Impulse and Step Response to Transfer Function),impulse-response;transfer-function,2,recall,multiple_choice_single,"For a causal LTI system with zero initial conditions, the transfer function is the Laplace transform of which signal?",Impulse response,Unit-step input,Tracking error,Control effort,A,,,,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 2 (Impulse and Step Response to Transfer Function),dc-gain;first-order;impulse-response,2,application,numerical_tolerance,A system has impulse response $h(t)=5e^{-4t}u(t)$. Find its DC gain $G(0)$.,,,,,1.25,1%,"$G(s)=5/(s+4)$, so $G(0)=5/4=1.25$.","Equivalently, $G(0)=\int_0^\infty h(t)dt$, the area under the impulse response.",
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 2 (Impulse and Step Response to Transfer Function),evaluation;step-response;transfer-function,3,application,numerical_tolerance,A system has unit-step response $c(t)=3(1-e^{-2t})$ for $t\ge0$. Evaluate its transfer function at $s=1$.,,,,,2,0.001,"$C(s)=3/s-3/(s+2)=6/[s(s+2)]$. Since $R(s)=1/s$, $G(s)=6/(s+2)$. At $s=1$: $6/3=2$.",Dividing by $R(s)=1/s$ (not by 1) is the step that distinguishes step from impulse data.,
Feedback and Control Systems,Introduction to Control Systems,Mathematical Modelling 2 (Impulse and Step Response to Transfer Function),first-order;impulse-response;transfer-function,4,application,multiple_choice_single,A system has impulse response $h(t)=e^{-2t}u(t)$. What is $G(s)$?,$1/(s-2)$,$s/(s+2)$,$1/(s+2)$,$2/(s+1)$,C,,,,
