subject,topic,subtopic,skill_tags,difficulty,cognitive_level,answer_type,question_text,option_a,option_b,option_c,option_d,correct_answer,numerical_tolerance,solution,explanation,reference
Digital Electronics,Number Systems and Codes,"Signed Number Representation (Sign-Magnitude, 1's Complement, 2's Complement)",signed-numbers;zero-representation,8,analysis,multiple_choice_single,In which representation is the code for zero not unique?,Excess-128 code,One's complement,Unsigned binary,Two's complement,B,,,,
Digital Electronics,Number Systems and Codes,"Signed Number Representation (Sign-Magnitude, 1's Complement, 2's Complement)",signed-numbers;ones-complement;code-count,10,analysis,numerical_tolerance,How many distinct integer values can a 6-bit one's complement code represent?,,,,,63,0.001,,,
Digital Electronics,Number Systems and Codes,Complement Arithmetic and Overflow Detection,complement-arithmetic;twos-complement-formation,2,recall,multiple_choice_single,The two's complement of a binary number is obtained by,inverting only the sign bit,inverting all bits,inverting all bits and adding 1,adding 1 to the least significant bit,C,,,,
Digital Electronics,Number Systems and Codes,Complement Arithmetic and Overflow Detection,complement-arithmetic;ones-complement;end-around-carry,4,comprehension,multiple_choice_single,"In one's complement addition, the carry generated out of the most significant bit is",added to the least significant bit,discarded without further action,retained as the sign bit,inverted and stored as the sign bit,A,,,,
Digital Electronics,Number Systems and Codes,Complement Arithmetic and Overflow Detection,complement-arithmetic;overflow;interpretation,6,application,numerical_tolerance,"The 8-bit patterns 01010101 and 00111011 are added. Interpreting the 8-bit result as a two's complement number, give its decimal value.",,,,,-112,0.001,,,
Digital Electronics,Number Systems and Codes,Complement Arithmetic and Overflow Detection,overflow-detection;carry-into-sign-bit,8,analysis,multiple_choice_single,Which condition indicates arithmetic overflow in two's complement addition?,The result of the addition is zero,The carry into the sign bit differs from the carry out of the sign bit,The two operands have opposite signs,The carry out of the most significant bit is 1,B,,,,
Digital Electronics,Number Systems and Codes,Complement Arithmetic and Overflow Detection,overflow-detection;operand-signs,10,evaluation,multiple_choice_single,Which of the following 8-bit two's complement additions can produce overflow?,$(-100)+(+50)$,$(-50)+(+50)$,$(+100)+(+50)$,$(+100)+(-50)$,C,,,,
Digital Electronics,Number Systems and Codes,"Binary Codes (BCD, Excess-3, Gray, ASCII)",binary-codes;bcd,2,recall,multiple_choice_single,Which 4-bit group is the 8421 BCD code for decimal 9?,1001,1100,0110,1011,A,,,,
Digital Electronics,Number Systems and Codes,"Binary Codes (BCD, Excess-3, Gray, ASCII)",binary-codes;excess-3,4,comprehension,multiple_choice_single,Which 4-bit group is the Excess-3 code for decimal 5?,0101,1000,1011,0010,B,,,,
Digital Electronics,Number Systems and Codes,"Binary Codes (BCD, Excess-3, Gray, ASCII)",binary-codes;gray-code;conversion,6,application,multiple_choice_single,What is the Gray code equivalent of the binary number 1011?,1010,1101,1110,0111,C,,,,
Digital Electronics,Number Systems and Codes,"Binary Codes (BCD, Excess-3, Gray, ASCII)",binary-codes;bcd;invalid-codes,8,application,numerical_tolerance,"Of the sixteen possible 4-bit patterns, how many are invalid in 8421 BCD?",,,,,6,0.001,,,
Digital Electronics,Number Systems and Codes,"Binary Codes (BCD, Excess-3, Gray, ASCII)",binary-codes;weighted-codes,10,analysis,multiple_choice_single,Which of the following is a weighted code?,ASCII,Gray code,Excess-3 code,2421 code,D,,,,
Digital Electronics,Number Systems and Codes,"Error Detection and Correction (Parity, Hamming Code)",parity;error-detection,2,recall,multiple_choice_single,A single appended parity bit allows a receiver to,correct any double-bit error,detect any even number of bit errors,detect and correct any single-bit error,detect any single-bit error but not correct it,D,,,,
Digital Electronics,Number Systems and Codes,"Error Detection and Correction (Parity, Hamming Code)",parity;even-parity,4,comprehension,numerical_tolerance,Determine the even-parity bit that must be appended to the data word 1011001.,,,,,0,0.001,,,
Digital Electronics,Number Systems and Codes,"Error Detection and Correction (Parity, Hamming Code)",hamming-code;parity-bit-count,6,application,numerical_tolerance,What is the minimum number of parity bits required for a single-error-correcting Hamming code carrying 8 data bits?,,,,,4,0.001,,,
Digital Electronics,Number Systems and Codes,"Error Detection and Correction (Parity, Hamming Code)",hamming-distance;error-correction,8,application,multiple_choice_single,What minimum Hamming distance must a code have to correct any single-bit error?,1,2,3,4,C,,,,
Digital Electronics,Number Systems and Codes,"Error Detection and Correction (Parity, Hamming Code)",hamming-code;syndrome,10,analysis,numerical_tolerance,"A 7-bit even-parity Hamming code word with parity bits in positions 1, 2 and 4 is received as 1101101, where the leftmost bit is position 1. Determine the bit position in error.",,,,,5,0.001,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Logic Levels, Positive and Negative Logic",logic-levels;positive-logic,2,recall,multiple_choice_single,"In a positive-logic system, the more positive voltage level represents which logic value?",Logic 1,A don't-care condition,A high-impedance state,Logic 0,A,,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Logic Levels, Positive and Negative Logic",logic-levels;negative-logic;duality,4,comprehension,multiple_choice_single,A gate performs the AND function under positive logic. Under negative logic the same gate performs which function?,NOR,OR,AND,NAND,B,,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Logic Levels, Positive and Negative Logic",logic-levels;input-thresholds,6,application,multiple_choice_single,A logic family specifies $V_{IL(max)}=0.8$ V and $V_{IH(min)}=2.0$ V. An input held at 1.5 V lies in,the high-impedance band,the valid logic 0 band,the valid logic 1 band,the indeterminate band,D,,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Logic Levels, Positive and Negative Logic",noise-margin;high-level,8,application,numerical_tolerance,"For a logic family with $V_{OH(min)}=2.7$ V and $V_{IH(min)}=2.0$ V, find the high-level noise margin in volts.",,,,,0.7,0.01,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Logic Levels, Positive and Negative Logic",noise-margin;both-levels;interpretation,10,analysis,multiple_choice_single,"A family specifies $V_{OL(max)}=0.4$ V, $V_{IL(max)}=0.8$ V, $V_{OH(min)}=2.7$ V and $V_{IH(min)}=2.0$ V. Which conclusion is correct?",The low-level margin is 0.4 V and the high-level margin is 0.7 V,The low-level margin is 0.8 V and the high-level margin is 2.0 V,The low-level margin is 0.4 V and the high-level margin is 2.7 V,The low-level margin is 1.2 V and the high-level margin is 4.7 V,A,,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Basic and Derived Logic Gates (AND, OR, NOT, NAND, NOR, XOR, XNOR)",logic-gates;xor;truth-table,2,recall,multiple_choice_single,A two-input XOR gate produces a HIGH output when,both inputs are LOW,the inputs are unequal,the inputs are equal,both inputs are HIGH,B,,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Basic and Derived Logic Gates (AND, OR, NOT, NAND, NOR, XOR, XNOR)",logic-gates;nor;multi-input,4,comprehension,multiple_choice_single,The output of a three-input NOR gate is HIGH only when,all inputs are HIGH,exactly one input is HIGH,all inputs are LOW,any one input is HIGH,C,,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Basic and Derived Logic Gates (AND, OR, NOT, NAND, NOR, XOR, XNOR)",logic-gates;xor;odd-function,6,application,numerical_tolerance,"For a four-input XOR gate, how many of the 16 input combinations produce a HIGH output?",,,,,8,0.001,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Basic and Derived Logic Gates (AND, OR, NOT, NAND, NOR, XOR, XNOR)",logic-gates;xor;controlled-inverter,8,application,multiple_choice_single,A two-input XOR gate with one input tied permanently to logic 1 behaves as,an AND gate,an OR gate,a buffer,an inverter,D,,,,
Digital Electronics,Boolean Algebra and Logic Gates,"Basic and Derived Logic Gates (AND, OR, NOT, NAND, NOR, XOR, XNOR)",logic-functions;function-count,10,analysis,numerical_tolerance,How many distinct Boolean functions of three variables exist?,,,,,256,0.001,,,
Digital Electronics,Boolean Algebra and Logic Gates,Boolean Postulates and Theorems,boolean-postulates;complement,2,recall,multiple_choice_single,According to the complement postulate of Boolean algebra $A+\bar A$ equals,$1$,$A$,$\bar A$,$0$,A,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Boolean Postulates and Theorems,boolean-theorems;absorption,4,comprehension,multiple_choice_single,The absorption theorem states that $A+AB$ equals,$A+B$,$A$,$B$,$AB$,B,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Boolean Postulates and Theorems,boolean-theorems;consensus,6,application,multiple_choice_single,Using the consensus theorem $AB+\bar AC+BC$ simplifies to,$AB+BC$,$\bar AC+BC$,$AB+\bar AC$,$A+B+C$,C,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Boolean Postulates and Theorems,boolean-theorems;distributive;simplification,8,application,multiple_choice_single,The expression $(A+B)(A+\bar B)$ simplifies to,$AB$,$A+B$,$B$,$A$,D,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Boolean Postulates and Theorems,boolean-algebra;duality,10,analysis,multiple_choice_single,What is the dual of the expression $A+BC$?,$A(B+C)$,$AB+AC$,$A+B+C$,$\bar A+\bar B\bar C$,A,,,,
Digital Electronics,Boolean Algebra and Logic Gates,De Morgan's Theorems,demorgan;sum-complement,2,recall,multiple_choice_single,The expression $\overline{A+B}$ is equivalent to,$\bar A+\bar B$,$\bar A\bar B$,$A\bar B$,$\overline{AB}$,B,,,,
Digital Electronics,Boolean Algebra and Logic Gates,De Morgan's Theorems,demorgan;product-complement,4,comprehension,multiple_choice_single,The expression $\overline{AB}$ is equivalent to,$\bar A\bar B$,$\overline{A+B}$,$\bar A+\bar B$,$A+B$,C,,,,
Digital Electronics,Boolean Algebra and Logic Gates,De Morgan's Theorems,demorgan;complement-of-function,6,application,multiple_choice_single,What is the complement of $f=A\bar B+\bar AC$?,$\bar AB+A\bar C$,$\bar A\bar B+AC$,$(A+\bar B)(\bar A+C)$,$(\bar A+B)(A+\bar C)$,D,,,,
Digital Electronics,Boolean Algebra and Logic Gates,De Morgan's Theorems,demorgan;multi-variable,8,application,multiple_choice_single,The expression $\overline{\bar A+\bar B+\bar C}$ equals,$ABC$,$\bar A\bar B\bar C$,$\overline{ABC}$,$A+B+C$,A,,,,
Digital Electronics,Boolean Algebra and Logic Gates,De Morgan's Theorems,demorgan;gate-network-conversion,10,analysis,multiple_choice_single,Applying De Morgan's theorem to a two-level AND-OR network converts it into which equivalent form?,OR-AND,NAND-NAND,XOR-XNOR,NOR-NOR,B,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Universal Gates and Gate Conversions,universal-gates;definition,2,recall,multiple_choice_single,Which pair of gates is described as universal?,NOT and AND,AND and OR,NAND and NOR,XOR and XNOR,C,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Universal Gates and Gate Conversions,universal-gates;nand;inverter,4,comprehension,numerical_tolerance,What is the minimum number of two-input NAND gates required to realize an inverter?,,,,,1,0.001,,,
Digital Electronics,Boolean Algebra and Logic Gates,Universal Gates and Gate Conversions,universal-gates;nand;or-function,6,application,numerical_tolerance,What is the minimum number of two-input NAND gates required to realize the OR function?,,,,,3,0.001,,,
Digital Electronics,Boolean Algebra and Logic Gates,Universal Gates and Gate Conversions,universal-gates;nand;xor-function,8,application,numerical_tolerance,What is the minimum number of two-input NAND gates required to realize the XOR function?,,,,,4,0.001,,,
Digital Electronics,Boolean Algebra and Logic Gates,Universal Gates and Gate Conversions,universal-gates;functional-completeness;xor,10,analysis,multiple_choice_single,Why is the XOR gate alone not functionally complete?,It requires at least three inputs to operate,Its output is undefined when the inputs are equal,It cannot produce an inversion,It is a linear function and cannot generate the AND operation,D,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Logic Expressions from Circuits and Circuits from Expressions,gate-networks;equivalent-gate,2,recall,multiple_choice_single,An AND gate whose output drives an inverter is equivalent to which single gate?,NAND,XOR,OR,NOR,A,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Logic Expressions from Circuits and Circuits from Expressions,gate-networks;expression-extraction,4,comprehension,multiple_choice_single,Inputs $A$ and $B$ drive an OR gate whose output and the input $C$ drive an AND gate. What is the output expression?,$A+B+C$,$(A+B)C$,$A+BC$,$AB+C$,B,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Logic Expressions from Circuits and Circuits from Expressions,gate-networks;gate-count,6,application,numerical_tolerance,What is the minimum number of two-input gates needed to implement $f=AB+CD$?,,,,,3,0.001,,,
Digital Electronics,Boolean Algebra and Logic Gates,Logic Expressions from Circuits and Circuits from Expressions,gate-networks;bubble-pushing,8,application,multiple_choice_single,Both inputs of a NAND gate are driven through inverters by $A$ and $B$. The overall function realized is,XNOR,AND,OR,NOR,C,,,,
Digital Electronics,Boolean Algebra and Logic Gates,Logic Expressions from Circuits and Circuits from Expressions,gate-networks;two-level-realization;delay,10,analysis,multiple_choice_single,A three-level gate network is redesigned as an equivalent two-level SOP network. Which quantity is primarily reduced?,Number of literals in the expression,Required fan-out of each input,Supply voltage of the circuit,Worst-case propagation delay,D,,,,
Digital Electronics,Simplification of Boolean Functions,"Canonical and Standard Forms (Minterms, Maxterms, SOP, POS)",canonical-forms;minterm-definition,2,recall,multiple_choice_single,Which description defines a minterm of $n$ variables?,A product term containing all $n$ variables exactly once,A product term containing at most two variables,A sum of all $n$ variables without complements,A sum term containing all $n$ variables,A,,,,
Digital Electronics,Simplification of Boolean Functions,"Canonical and Standard Forms (Minterms, Maxterms, SOP, POS)",canonical-forms;minterm-numbering,4,comprehension,multiple_choice_single,"For the variable order $A,B,C$, which product term is the minterm $m_5$?",$AB\bar C$,$A\bar BC$,$\bar A\bar BC$,$\bar AB\bar C$,B,,,,
Digital Electronics,Simplification of Boolean Functions,"Canonical and Standard Forms (Minterms, Maxterms, SOP, POS)",canonical-forms;sop-pos-duality,6,application,numerical_tolerance,A four-variable function has five minterms in its canonical SOP form. How many maxterms appear in its canonical POS form?,,,,,11,0.001,,,
Digital Electronics,Simplification of Boolean Functions,"Canonical and Standard Forms (Minterms, Maxterms, SOP, POS)",canonical-forms;minterm-list;simplification,8,application,multiple_choice_single,"The function $f(A,B,C)=\sum m(1,3,5,7)$ reduces to",$B+C$,$\bar C$,$C$,$A$,C,,,,
Digital Electronics,Simplification of Boolean Functions,"Canonical and Standard Forms (Minterms, Maxterms, SOP, POS)",canonical-forms;minterm-maxterm-relation,10,analysis,multiple_choice_single,Which relation between the $i$th minterm $m_i$ and the $i$th maxterm $M_i$ of the same $n$ variables is correct?,$M_i=m_i$,$M_i=m_{n-i}$,$M_i=\overline{m_{n-i}}$,$M_i=\overline{m_i}$,D,,,,
Digital Electronics,Simplification of Boolean Functions,Algebraic Simplification,algebraic-simplification;complement-postulate,2,recall,multiple_choice_single,The product $A\bar A$ equals,$0$,$\bar A$,$1$,$A$,A,,,,
Digital Electronics,Simplification of Boolean Functions,Algebraic Simplification,algebraic-simplification;combining,4,comprehension,multiple_choice_single,The expression $AB+A\bar B$ simplifies to,$A+B$,$A$,$B$,$AB$,B,,,,
Digital Electronics,Simplification of Boolean Functions,Algebraic Simplification,algebraic-simplification;multi-term,6,application,multiple_choice_single,Simplify $\bar A\bar B+\bar AB+AB$.,$A+\bar B$,$\bar AB$,$\bar A+B$,$A+B$,C,,,,
Digital Electronics,Simplification of Boolean Functions,Algebraic Simplification,algebraic-simplification;literal-count,8,application,numerical_tolerance,The function $f=\bar A\bar B\bar C+\bar A\bar BC+\bar ABC$ is reduced to its minimal SOP form. How many literals does the minimal form contain?,,,,,4,0.001,,,
Digital Electronics,Simplification of Boolean Functions,Algebraic Simplification,algebraic-simplification;limitations,10,analysis,multiple_choice_single,Why can purely algebraic manipulation fail to produce the minimal expression?,It cannot be applied to complemented literals,It is valid only for POS expressions,It requires the function to have fewer than four variables,There is no fixed order of applying theorems that guarantees minimality,D,,,,
Digital Electronics,Simplification of Boolean Functions,"Karnaugh Maps (Two, Three, and Four Variables)",karnaugh-map;adjacency,2,recall,multiple_choice_single,Two physically adjacent cells of a Karnaugh map differ in,exactly one variable,exactly two variables,all variables,no variables,A,,,,
Digital Electronics,Simplification of Boolean Functions,"Karnaugh Maps (Two, Three, and Four Variables)",karnaugh-map;cell-count,4,comprehension,numerical_tolerance,How many cells does the Karnaugh map of a five-variable function contain?,,,,,32,0.001,,,
Digital Electronics,Simplification of Boolean Functions,"Karnaugh Maps (Two, Three, and Four Variables)",karnaugh-map;four-variable;grouping,6,application,multiple_choice_single,"Minimize $f(A,B,C,D)=\sum m(0,2,8,10)$ using a Karnaugh map.",$\bar B\bar C$,$\bar B\bar D$,$\bar A\bar D$,$\bar A\bar C$,B,,,,
Digital Electronics,Simplification of Boolean Functions,"Karnaugh Maps (Two, Three, and Four Variables)",karnaugh-map;literal-count,8,application,numerical_tolerance,"For $f(A,B,C,D)=\sum m(0,1,4,5,10,11,14,15)$, how many literals appear in the minimal SOP expression?",,,,,4,0.001,,,
Digital Electronics,Simplification of Boolean Functions,"Karnaugh Maps (Two, Three, and Four Variables)",karnaugh-map;essential-prime-implicant,10,analysis,multiple_choice_single,Which statement defines an essential prime implicant?,A prime implicant that appears in every form of the complement,Any implicant containing the largest number of literals,A prime implicant covering a minterm that no other prime implicant covers,An implicant fully covered by other prime implicants,C,,,,
Digital Electronics,Simplification of Boolean Functions,Don't-Care Conditions,dont-care;definition,2,recall,multiple_choice_single,A don't-care condition is assigned to an input combination when,the circuit becomes unstable for that combination,two outputs conflict for that combination,the output must be forced to logic 1,the combination never occurs or its output value is irrelevant,D,,,,
Digital Electronics,Simplification of Boolean Functions,Don't-Care Conditions,dont-care;kmap-treatment,4,comprehension,multiple_choice_single,"During Karnaugh map minimization, don't-care cells are",assigned whichever value yields a simpler expression,removed from the map entirely,always treated as logic 1,always treated as logic 0,A,,,,
Digital Electronics,Simplification of Boolean Functions,Don't-Care Conditions,dont-care;three-variable;minimization,6,application,multiple_choice_single,"Minimize $f(A,B,C)=\sum m(0,1)+d(2,3)$.",$\bar A\bar C$,$\bar A$,$\bar A\bar B$,$\bar B$,B,,,,
Digital Electronics,Simplification of Boolean Functions,Don't-Care Conditions,dont-care;bcd-inputs,8,application,numerical_tolerance,A four-variable function is driven only by valid 8421 BCD codes. How many don't-care combinations are available for minimization?,,,,,6,0.001,,,
Digital Electronics,Simplification of Boolean Functions,Don't-Care Conditions,dont-care;design-consequence,10,evaluation,multiple_choice_single,What is the practical consequence of exploiting don't-care conditions?,The minimized circuit always uses fewer gates than any alternative,The number of input variables is reduced by one,The output for a don't-care input is fixed by the chosen realization,The resulting circuit becomes asynchronous,C,,,,
Digital Electronics,Simplification of Boolean Functions,Five-Variable Karnaugh Maps,five-variable-kmap;structure,2,recall,multiple_choice_single,A five-variable Karnaugh map is conventionally drawn as,four 8-cell maps,one 16-cell map,two 8-cell maps,two 16-cell maps,D,,,,
Digital Electronics,Simplification of Boolean Functions,Five-Variable Karnaugh Maps,five-variable-kmap;inter-map-adjacency,4,comprehension,multiple_choice_single,"In a five-variable map drawn as two 16-cell maps, cells occupying the same position on the two maps are",adjacent,never adjacent,always identical in value,treated as don't cares,A,,,,
Digital Electronics,Simplification of Boolean Functions,Five-Variable Karnaugh Maps,five-variable-kmap;grouping,6,application,multiple_choice_single,"With the variable order $A,B,C,D,E$, minimize $f=\sum m(0,1,2,3,16,17,18,19)$.",$\bar A\bar B$,$\bar B\bar C$,$\bar C\bar D$,$\bar A\bar C$,B,,,,
Digital Electronics,Simplification of Boolean Functions,Five-Variable Karnaugh Maps,five-variable-kmap;group-size,8,application,numerical_tolerance,How many cells must be grouped together to eliminate three variables in a five-variable Karnaugh map?,,,,,8,0.001,,,
Digital Electronics,Simplification of Boolean Functions,Five-Variable Karnaugh Maps,five-variable-kmap;literal-count,10,analysis,numerical_tolerance,"With the variable order $A,B,C,D,E$, how many literals appear in the minimal SOP form of $f=\sum m(0,1,4,5,16,17,20,21)$?",,,,,2,0.001,,,
Digital Electronics,Simplification of Boolean Functions,Quine-McCluskey (Tabulation) Method,quine-mccluskey;purpose,2,recall,multiple_choice_single,Why is the Quine-McCluskey method preferred over Karnaugh maps for many variables?,It applies only to functions of four variables,It does not require a truth table,It is systematic and can be programmed for any number of variables,It always yields fewer literals than any other method,C,,,,
Digital Electronics,Simplification of Boolean Functions,Quine-McCluskey (Tabulation) Method,quine-mccluskey;grouping-step,4,comprehension,multiple_choice_single,"In the first tabulation step, minterms are grouped according to",their decimal magnitude,the number of literals they contain,their position in the Karnaugh map,the number of 1s in their binary representation,D,,,,
Digital Electronics,Simplification of Boolean Functions,Quine-McCluskey (Tabulation) Method,quine-mccluskey;combining-terms,6,application,multiple_choice_single,Combining the four-variable minterms 4 and 6 produces which term?,$01{-}0$,${-}100$,$011{-}$,$0{-}10$,A,,,,
Digital Electronics,Simplification of Boolean Functions,Quine-McCluskey (Tabulation) Method,quine-mccluskey;prime-implicant-count,8,application,numerical_tolerance,"How many prime implicants does $f(A,B,C,D)=\sum m(0,1,2,5,6,7)$ have?",,,,,6,0.001,,,
Digital Electronics,Simplification of Boolean Functions,Quine-McCluskey (Tabulation) Method,quine-mccluskey;prime-implicant-chart,10,analysis,multiple_choice_single,What is the purpose of the prime implicant chart?,To count the number of input variables,To select a minimum set of prime implicants covering all minterms,To list every minterm in binary form,To convert an SOP form into a POS form,B,,,,
Digital Electronics,Simplification of Boolean Functions,NAND-Only and NOR-Only Implementation,nand-implementation;sop-mapping,2,recall,multiple_choice_single,A two-level SOP expression maps directly onto which gate structure?,OR-OR,NOR-NOR,NAND-NAND,AND-AND,C,,,,
Digital Electronics,Simplification of Boolean Functions,NAND-Only and NOR-Only Implementation,nor-implementation;pos-mapping,4,comprehension,multiple_choice_single,A two-level POS expression maps directly onto which gate structure?,NAND-NAND,AND-OR,OR-OR,NOR-NOR,D,,,,
Digital Electronics,Simplification of Boolean Functions,NAND-Only and NOR-Only Implementation,nand-implementation;gate-count,6,application,numerical_tolerance,How many NAND gates of unrestricted fan-in are required to implement $f=AB+CD+EF$ in NAND-NAND form?,,,,,4,0.001,,,
Digital Electronics,Simplification of Boolean Functions,NAND-Only and NOR-Only Implementation,nand-implementation;single-literal-terms,8,application,multiple_choice_single,"When converting an SOP form to NAND-NAND logic, a term consisting of a single literal must be",complemented before reaching the output NAND gate,connected to logic 0,duplicated at both levels,connected directly to the output NAND gate,A,,,,
Digital Electronics,Simplification of Boolean Functions,NAND-Only and NOR-Only Implementation,nand-vs-nor;cmos-implementation,10,evaluation,multiple_choice_single,Why is NAND logic generally preferred to NOR logic in CMOS realizations?,A NAND gate dissipates no static power while a NOR gate does,The series NMOS stack of a NAND is faster than the series PMOS stack of a NOR,A NOR gate cannot be cascaded with other gates,A NOR gate needs fewer transistors than a NAND gate,B,,,,
Digital Electronics,Logic Families,"Characteristics of Digital ICs (Fan-In, Fan-Out, Propagation Delay, Power Dissipation, Noise Margin)",ic-characteristics;fan-out,2,recall,multiple_choice_single,Fan-out of a logic gate is defined as,the ratio of power dissipation to delay,the number of inputs the gate itself provides,the maximum number of similar gate inputs its output can drive reliably,the voltage gain of the gate,C,,,,
Digital Electronics,Logic Families,"Characteristics of Digital ICs (Fan-In, Fan-Out, Propagation Delay, Power Dissipation, Noise Margin)",ic-characteristics;speed-power-product,4,comprehension,multiple_choice_single,The speed-power product of a logic family is expressed in which unit?,Volts,Watts,Seconds,Joules,D,,,,
